 ========================================================
       E/V           P              n           eps      
    (MeV/fm3)     (MeV/fm3)      (#/fm3)    (erg/cm^3/s) 
 ========================================================
   0.43755E-11   0.63039E-25   0.47000E-14   0.00000E+00
   0.44091E-11   0.63039E-24   0.47300E-14   0.00000E+00
   0.44316E-11   0.63039E-23   0.47600E-14   0.00000E+00
   0.45718E-11   0.63039E-22   0.49100E-14   0.00000E+00
   0.65071E-11   0.75522E-21   0.69900E-14   0.00000E+00
   0.91997E-11   0.87381E-20   0.99000E-14   0.00000E+00
   0.25299E-10   0.10611E-18   0.27200E-13   0.00000E+00
   0.11892E-09   0.36326E-17   0.12700E-12   0.00000E+00
   0.64510E-09   0.11859E-15   0.69300E-12   0.00000E+00
   0.58564E-08   0.60817E-14   0.62950E-11   0.00000E+00
   0.14708E-07   0.31008E-13   0.15810E-10   0.00000E+00
   0.36950E-07   0.15173E-12   0.39720E-10   0.00000E+00
   0.92783E-07   0.71840E-12   0.99760E-10   0.00000E+00
   0.23313E-06   0.32868E-11   0.25060E-09   0.00000E+00
   0.58564E-06   0.14468E-10   0.62940E-09   0.00000E+00
   0.14708E-05   0.60886E-10   0.15810E-08   0.00000E+00
   0.36956E-05   0.24411E-09   0.39720E-08   0.00000E+00
   0.46520E-05   0.32824E-09   0.50000E-08   0.00000E+00
   0.92839E-05   0.89566E-09   0.99760E-08   0.00000E+00
   0.18523E-04   0.23924E-08   0.19900E-07   0.00000E+00
   0.36962E-04   0.62790E-08   0.39720E-07   0.00000E+00
   0.73766E-04   0.16253E-07   0.79240E-07   0.00000E+00
   0.14720E-03   0.41668E-07   0.15810E-06   0.00000E+00
   0.18534E-03   0.54538E-07   0.19900E-06   0.00000E+00
   0.29377E-03   0.10167E-06   0.31550E-06   0.00000E+00
   0.46565E-03   0.18906E-06   0.50000E-06   0.00000E+00
   0.58620E-03   0.25771E-06   0.62940E-06   0.00000E+00
   0.72252E-03   0.31432E-06   0.77530E-06   0.00000E+00
   0.90931E-03   0.42817E-06   0.97610E-06   0.00000E+00
   0.14417E-02   0.79392E-06   0.15470E-05   0.00000E+00
   0.22853E-02   0.14705E-05   0.24520E-05   0.00000E+00
   0.37035E-02   0.27225E-05   0.39710E-05   0.00000E+00
   0.45017E-02   0.35339E-05   0.48270E-05   0.00000E+00
   0.56713E-02   0.48072E-05   0.60770E-05   0.00000E+00
   0.71410E-02   0.65411E-05   0.76530E-05   0.00000E+00
   0.93119E-02   0.88942E-05   0.99810E-05   0.00000E+00
   0.11878E-01   0.12096E-04   0.12725E-04   0.00000E+00
   0.14759E-01   0.15622E-04   0.15810E-04   0.00000E+00
   0.18590E-01   0.21246E-04   0.19900E-04   0.00000E+00
   0.23403E-01   0.28886E-04   0.25060E-04   0.00000E+00
   0.29478E-01   0.37131E-04   0.31545E-04   0.00000E+00
